Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/3/2017,68.333771,9152.00 ,1220,2,0.11
1/4/2017,69.453979,9152.00 ,1220,2,0.11
1/5/2017,68.597885,9152.00 ,1220,2,0.11
1/6/2017,68.734497,9152.00 ,1220,2,0.11
1/9/2017,69.089684,9152.00 ,1220,2,0.11
1/10/2017,69.809181,9152.00 ,1220,2,0.11
1/11/2017,70.045975,9152.00 ,1220,2,0.11
1/12/2017,70.018654,9152.00 ,1220,2,0.11
1/13/2017,69.781868,9152.00 ,1220,2,0.11
1/17/2017,69.763641,9152.00 ,1220,2,0.11
1/18/2017,70.574219,9152.00 ,1220,2,0.11
1/19/2017,69.845627,9152.00 ,1220,2,0.11
1/20/2017,69.399345,9152.00 ,1220,2,0.11
1/23/2017,69.18988,9152.00 ,1220,2,0.11
1/24/2017,70.519585,9152.00 ,1220,2,0.11
1/25/2017,70.027763,9152.00 ,1220,2,0.11
1/26/2017,70.064186,9152.00 ,1220,2,0.11
1/27/2017,69.991348,9152.00 ,1220,2,0.11
1/30/2017,70.382965,9152.00 ,1220,2,0.11
1/31/2017,69.563278,9152.00 ,1220,2,0.11
2/1/2017,69.909355,9152.00 ,1220,2,0.11
2/2/2017,69.681679,9152.00 ,1220,2,0.11
2/3/2017,71.075127,9152.00 ,1220,2,0.11
2/6/2017,70.874756,9152.00 ,1220,2,0.11
2/7/2017,70.783699,9152.00 ,1220,2,0.11
2/8/2017,70.856537,9152.00 ,1220,2,0.11
2/9/2017,71.202637,9152.00 ,1220,2,0.11
2/10/2017,71.475845,9152.00 ,1220,2,0.11
2/13/2017,71.867485,9152.00 ,1220,2,0.11
2/14/2017,72.322853,9152.00 ,1220,2,0.11
2/15/2017,72.495918,9152.00 ,1220,2,0.11
2/16/2017,72.413933,9152.00 ,1220,2,0.11
2/17/2017,72.5961,9152.00 ,1220,2,0.11
2/21/2017,72.83287,9152.00 ,1220,2,0.11
2/22/2017,72.732712,9152.00 ,1220,2,0.11
2/23/2017,72.905762,9152.00 ,1220,2,0.11
2/24/2017,72.64164,9152.00 ,1220,2,0.11
2/27/2017,73.015045,9152.00 ,1220,2,0.11
2/28/2017,72.914841,9152.00 ,1220,2,0.11
3/1/2017,74.608849,9152.00 ,1220,2,0.11
3/2/2017,72.951271,9152.00 ,1220,2,0.11
3/3/2017,72.750931,9152.00 ,1220,2,0.11
3/6/2017,72.404823,9152.00 ,1220,2,0.11
3/7/2017,72.477707,9152.00 ,1220,2,0.11
3/8/2017,71.985878,9152.00 ,1220,2,0.11
3/9/2017,72.222687,9152.00 ,1220,2,0.11
3/10/2017,72.295525,9152.00 ,1220,2,0.11
3/13/2017,72.140709,9152.00 ,1220,2,0.11
3/14/2017,72.577873,9152.00 ,1220,2,0.11
3/15/2017,72.158936,9152.00 ,1220,2,0.11
3/16/2017,72.650742,9152.00 ,1220,2,0.11
3/17/2017,72.177155,9152.00 ,1220,2,0.11
3/20/2017,71.812836,9152.00 ,1220,2,0.11
3/21/2017,70.610641,9152.00 ,1220,2,0.11
3/22/2017,70.738152,9152.00 ,1220,2,0.11
3/23/2017,70.892998,9152.00 ,1220,2,0.11
3/24/2017,71.220863,9152.00 ,1220,2,0.11
3/27/2017,70.6744,9152.00 ,1220,2,0.11
3/28/2017,71.621582,9152.00 ,1220,2,0.11
3/29/2017,71.266396,9152.00 ,1220,2,0.11
