Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/3/2017,53.669998,1394.00 ,247.00 ,3,0.21
1/4/2017,54.325001,1394.00 ,247.00 ,3,0.21
1/5/2017,54.305,1394.00 ,247.00 ,3,0.21
1/6/2017,54.915001,1394.00 ,247.00 ,3,0.21
1/9/2017,54.049999,1394.00 ,247.00 ,3,0.21
1/10/2017,54.115002,1394.00 ,247.00 ,3,0.21
1/11/2017,54.27,1394.00 ,247.00 ,3,0.21
1/12/2017,54.709999,1394.00 ,247.00 ,3,0.21
1/13/2017,55.150002,1394.00 ,247.00 ,3,0.21
1/17/2017,55.220001,1394.00 ,247.00 ,3,0.21
1/18/2017,55.040001,1394.00 ,247.00 ,3,0.21
1/19/2017,54.674999,1394.00 ,247.00 ,3,0.21
1/20/2017,54.785,1394.00 ,247.00 ,3,0.21
1/23/2017,54.330002,1394.00 ,247.00 ,3,0.21
1/24/2017,54.259998,1394.00 ,247.00 ,3,0.21
1/25/2017,54.27,1394.00 ,247.00 ,3,0.21
1/26/2017,53.924999,1394.00 ,247.00 ,3,0.21
1/27/2017,54.049999,1394.00 ,247.00 ,3,0.21
1/30/2017,54.075001,1394.00 ,247.00 ,3,0.21
1/31/2017,53.715,1394.00 ,247.00 ,3,0.21
2/1/2017,52.689999,1394.00 ,247.00 ,3,0.21
2/2/2017,52.73,1394.00 ,247.00 ,3,0.21
2/3/2017,53.360001,1394.00 ,247.00 ,3,0.21
2/6/2017,53.424999,1394.00 ,247.00 ,3,0.21
2/7/2017,53.209999,1394.00 ,247.00 ,3,0.21
2/8/2017,53.889999,1394.00 ,247.00 ,3,0.21
2/9/2017,54.735001,1394.00 ,247.00 ,3,0.21
2/10/2017,54.535,1394.00 ,247.00 ,3,0.21
2/13/2017,55.049999,1394.00 ,247.00 ,3,0.21
2/14/2017,55.07,1394.00 ,247.00 ,3,0.21
2/15/2017,55.540001,1394.00 ,247.00 ,3,0.21
2/16/2017,55.625,1394.00 ,247.00 ,3,0.21
2/17/2017,55.990002,1394.00 ,247.00 ,3,0.21
2/21/2017,56.195,1394.00 ,247.00 ,3,0.21
2/22/2017,56.91,1394.00 ,247.00 ,3,0.21
2/23/2017,57.450001,1394.00 ,247.00 ,3,0.21
2/24/2017,58.150002,1394.00 ,247.00 ,3,0.21
2/27/2017,57.790001,1394.00 ,247.00 ,3,0.21
2/28/2017,57.700001,1394.00 ,247.00 ,3,0.21
3/1/2017,58.555,1394.00 ,247.00 ,3,0.21
3/2/2017,58.32,1394.00 ,247.00 ,3,0.21
3/3/2017,58.75,1394.00 ,247.00 ,3,0.21
3/6/2017,58.509998,1394.00 ,247.00 ,3,0.21
3/7/2017,58.474998,1394.00 ,247.00 ,3,0.21
3/8/2017,58.724998,1394.00 ,247.00 ,3,0.21
3/9/2017,58.724998,1394.00 ,247.00 ,3,0.21
3/10/2017,58.639999,1394.00 ,247.00 ,3,0.21
3/13/2017,58.945,1394.00 ,247.00 ,3,0.21
3/14/2017,58.685001,1394.00 ,247.00 ,3,0.21
3/15/2017,58.825001,1394.00 ,247.00 ,3,0.21
3/16/2017,58.630001,1394.00 ,247.00 ,3,0.21
3/17/2017,58.895,1394.00 ,247.00 ,3,0.21
3/20/2017,58.349998,1394.00 ,247.00 ,3,0.21
3/21/2017,58.080002,1394.00 ,247.00 ,3,0.21
3/22/2017,57.939999,1394.00 ,247.00 ,3,0.21
3/23/2017,57.924999,1394.00 ,247.00 ,3,0.21
3/24/2017,57.970001,1394.00 ,247.00 ,3,0.21
3/27/2017,57.744999,1394.00 ,247.00 ,3,0.21
3/28/2017,57.895,1394.00 ,247.00 ,3,0.21
3/29/2017,57.955002,1394.00 ,247.00 ,3,0.21
3/30/2017,57.965,1394.00 ,247.00 ,3,0.21
3/31/2017,57.654999,1394.00 ,247.00 ,3,0.21
4/3/2017,57.82,1386.00 ,221.00 ,3.05,0.21
4/4/2017,57.689999,1386.00 ,221.00 ,3.05,0.21
4/5/2017,57.785,1386.00 ,221.00 ,3.05,0.21
4/6/2017,57.830002,1386.00 ,221.00 ,3.05,0.21
4/7/2017,57.91,1386.00 ,221.00 ,3.05,0.21
4/10/2017,57.965,1386.00 ,221.00 ,3.05,0.21
4/11/2017,58.130001,1386.00 ,221.00 ,3.05,0.21
4/12/2017,57.895,1386.00 ,221.00 ,3.05,0.21
4/13/2017,57.595001,1386.00 ,221.00 ,3.05,0.21
4/17/2017,58.224998,1386.00 ,221.00 ,3.05,0.21
4/18/2017,58.174999,1386.00 ,221.00 ,3.05,0.21
4/19/2017,58.275002,1386.00 ,221.00 ,3.05,0.21
4/20/2017,58.895,1386.00 ,221.00 ,3.05,0.21
4/21/2017,59.200001,1386.00 ,221.00 ,3.05,0.21
4/24/2017,59.720001,1386.00 ,221.00 ,3.05,0.21
4/25/2017,59.810001,1386.00 ,221.00 ,3.05,0.21
