Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/3/2017,101.347313,2734.00 ,1081.00 ,2.29,0.59
1/4/2017,102.308945,2734.00 ,1081.00 ,2.29,0.59
1/5/2017,103.099129,2734.00 ,1081.00 ,2.29,0.59
1/6/2017,103.841125,2734.00 ,1081.00 ,2.29,0.59
1/9/2017,103.638771,2734.00 ,1081.00 ,2.29,0.59
1/10/2017,103.417122,2734.00 ,1081.00 ,2.29,0.59
1/11/2017,103.88929,2734.00 ,1081.00 ,2.29,0.59
1/12/2017,104.756577,2734.00 ,1081.00 ,2.29,0.59
1/13/2017,104.746941,2734.00 ,1081.00 ,2.29,0.59
1/17/2017,104.457863,2734.00 ,1081.00 ,2.29,0.59
1/18/2017,104.708405,2734.00 ,1081.00 ,2.29,0.59
1/19/2017,104.58313,2734.00 ,1081.00 ,2.29,0.59
1/20/2017,105.961143,2734.00 ,1081.00 ,2.29,0.59
1/23/2017,105.643127,2734.00 ,1081.00 ,2.29,0.59
1/24/2017,105.922577,2734.00 ,1081.00 ,2.29,0.59
1/25/2017,106.182755,2734.00 ,1081.00 ,2.29,0.59
1/26/2017,105.402222,2734.00 ,1081.00 ,2.29,0.59
1/27/2017,105.845482,2734.00 ,1081.00 ,2.29,0.59
1/30/2017,105.325127,2734.00 ,1081.00 ,2.29,0.59
1/31/2017,102.463127,2734.00 ,1081.00 ,2.29,0.59
2/1/2017,101.181496,2734.00 ,1081.00 ,2.29,0.59
2/2/2017,101.316399,2734.00 ,1081.00 ,2.29,0.59
2/3/2017,102.704033,2734.00 ,1081.00 ,2.29,0.59
2/6/2017,102.713676,2734.00 ,1081.00 ,2.29,0.59
2/7/2017,102.723305,2734.00 ,1081.00 ,2.29,0.59
2/8/2017,102.838982,2734.00 ,1081.00 ,2.29,0.59
2/9/2017,103.397865,2734.00 ,1081.00 ,2.29,0.59
2/10/2017,103.36895,2734.00 ,1081.00 ,2.29,0.59
2/13/2017,104.342216,2734.00 ,1081.00 ,2.29,0.59
2/14/2017,104.920387,2734.00 ,1081.00 ,2.29,0.59
2/15/2017,105.672043,2734.00 ,1081.00 ,2.29,0.59
2/16/2017,105.325127,2734.00 ,1081.00 ,2.29,0.59
2/17/2017,105.440765,2734.00 ,1081.00 ,2.29,0.59
2/21/2017,106.153831,2734.00 ,1081.00 ,2.29,0.59
2/22/2017,105.460045,2734.00 ,1081.00 ,2.29,0.59
2/23/2017,106.712746,2734.00 ,1081.00 ,2.29,0.59
2/24/2017,106.963303,2734.00 ,1081.00 ,2.29,0.59
2/27/2017,106.54895,2734.00 ,1081.00 ,2.29,0.59
2/28/2017,106.442932,2734.00 ,1081.00 ,2.29,0.59
3/1/2017,108.225655,2734.00 ,1081.00 ,2.29,0.59
3/2/2017,107.281303,2734.00 ,1081.00 ,2.29,0.59
3/3/2017,107.676384,2734.00 ,1081.00 ,2.29,0.59
3/6/2017,107.310204,2734.00 ,1081.00 ,2.29,0.59
3/7/2017,106.924759,2734.00 ,1081.00 ,2.29,0.59
3/8/2017,106.944031,2734.00 ,1081.00 ,2.29,0.59
3/9/2017,106.760925,2734.00 ,1081.00 ,2.29,0.59
3/10/2017,107.165665,2734.00 ,1081.00 ,2.29,0.59
3/13/2017,107.474022,2734.00 ,1081.00 ,2.29,0.59
3/14/2017,106.47184,2734.00 ,1081.00 ,2.29,0.59
3/15/2017,107.946228,2734.00 ,1081.00 ,2.29,0.59
3/16/2017,108.572586,2734.00 ,1081.00 ,2.29,0.59
3/17/2017,108.726753,2734.00 ,1081.00 ,2.29,0.59
3/20/2017,108.322029,2734.00 ,1081.00 ,2.29,0.59
3/21/2017,106.683846,2734.00 ,1081.00 ,2.29,0.59
3/22/2017,107.396927,2734.00 ,1081.00 ,2.29,0.59
3/23/2017,107.541496,2734.00 ,1081.00 ,2.29,0.59
3/24/2017,107.907654,2734.00 ,1081.00 ,2.29,0.59
3/27/2017,107.869102,2734.00 ,1081.00 ,2.29,0.59
3/28/2017,108.379845,2734.00 ,1081.00 ,2.29,0.59
3/29/2017,107.984756,2734.00 ,1081.00 ,2.29,0.59
3/30/2017,108.572586,2734.00 ,1081.00 ,2.29,0.59
3/31/2017,108.379845,2734.00 ,1081.00 ,2.29,0.59
4/3/2017,108.158211,3053.00 ,1177.00 ,2.38,0.58
4/4/2017,108.013649,3053.00 ,1177.00 ,2.38,0.58
4/5/2017,108.206749,3053.00 ,1177.00 ,2.38,0.58
4/6/2017,108.554352,3053.00 ,1177.00 ,2.38,0.58
4/7/2017,108.370903,3053.00 ,1177.00 ,2.38,0.58
4/10/2017,108.448143,3053.00 ,1177.00 ,2.38,0.58
4/11/2017,108.245369,3053.00 ,1177.00 ,2.38,0.58
4/12/2017,107.627449,3053.00 ,1177.00 ,2.38,0.58
4/13/2017,107.386063,3053.00 ,1177.00 ,2.38,0.58
4/17/2017,108.786095,3053.00 ,1177.00 ,2.38,0.58
4/18/2017,108.641251,3053.00 ,1177.00 ,2.38,0.58
