Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/3/2017,40.25,2975,384,1.29,
1/4/2017,41,2975,384,1.29,
1/5/2017,41.060001,2975,384,1.29,
1/6/2017,41.450001,2975,384,1.29,
1/9/2017,41.400002,2975,384,1.29,
1/10/2017,41.080002,2975,384,1.29,
1/11/2017,41.279999,2975,384,1.29,
1/12/2017,41.560001,2975,384,1.29,
1/13/2017,41.599998,2975,384,1.29,
1/17/2017,41.27,2975,384,1.29,
1/18/2017,41.349998,2975,384,1.29,
1/19/2017,41.27,2975,384,1.29,
1/20/2017,41.689999,2975,384,1.29,
1/23/2017,41.619999,2975,384,1.29,
1/24/2017,41.959999,2975,384,1.29,
1/25/2017,41.709999,2975,384,1.29,
1/26/2017,41.5,2975,384,1.29,
1/27/2017,40.27,2975,384,1.29,
1/30/2017,39.860001,2975,384,1.29,
1/31/2017,39.779999,2975,384,1.29,
2/1/2017,39.310001,2975,384,1.29,
2/2/2017,39.580002,2975,384,1.29,
2/3/2017,39.59,2975,384,1.29,
2/6/2017,39.740002,2975,384,1.29,
2/7/2017,40.02,2975,384,1.29,
2/8/2017,40.880001,2975,384,1.29,
2/9/2017,40.830002,2975,384,1.29,
2/10/2017,40.580002,2975,384,1.29,
2/13/2017,41.169998,2975,384,1.29,
2/14/2017,41.619999,2975,384,1.29,
2/15/2017,41.869999,2975,384,1.29,
2/16/2017,42.150002,2975,384,1.29,
2/17/2017,41.959999,2975,384,1.29,
2/21/2017,42.43,2975,384,1.29,
2/22/2017,42.419998,2975,384,1.29,
2/23/2017,42.529999,2975,384,1.29,
2/24/2017,43.07,2975,384,1.29,
2/27/2017,42.639999,2975,384,1.29,
2/28/2017,42,2975,384,1.29,
3/1/2017,42.43,2975,384,1.29,
3/2/2017,42.77,2975,384,1.29,
3/3/2017,43.029999,2975,384,1.29,
3/6/2017,42.869999,2975,384,1.29,
3/7/2017,42.889999,2975,384,1.29,
3/8/2017,42.790001,2975,384,1.29,
3/9/2017,42.919998,2975,384,1.29,
3/10/2017,42.990002,2975,384,1.29,
3/13/2017,42.59,2975,384,1.29,
3/14/2017,42.099998,2975,384,1.29,
3/15/2017,42.389999,2975,384,1.29,
3/16/2017,42.400002,2975,384,1.29,
3/17/2017,43.080002,2975,384,1.29,
3/20/2017,43.16,2975,384,1.29,
3/21/2017,42.639999,2975,384,1.29,
3/22/2017,43.189999,2975,384,1.29,
3/23/2017,43.139999,2975,384,1.29,
3/24/2017,43.130001,2975,384,1.29,
3/27/2017,43.080002,2975,384,1.29,
3/28/2017,43.150002,2975,384,1.29,
3/29/2017,43.240002,2975,384,1.29,
3/30/2017,43.540001,2975,384,1.29,
3/31/2017,43.02,2975,384,1.29,
4/3/2017,42.630001,3136,411,1.35,
4/4/2017,42.720001,3136,411,1.35,
4/5/2017,42.889999,3136,411,1.35,
4/6/2017,42.900002,3136,411,1.35,
4/7/2017,43.040001,3136,411,1.35,
4/10/2017,43.049999,3136,411,1.35,
4/11/2017,42.689999,3136,411,1.35,
4/12/2017,42.490002,3136,411,1.35,
4/13/2017,42.549999,3136,411,1.35,
4/17/2017,43.099998,3136,411,1.35,
4/18/2017,43.09,3136,411,1.35,
4/19/2017,43.299999,3136,411,1.35,
4/20/2017,43.689999,3136,411,1.35,
4/21/2017,43.810001,3136,411,1.35,
4/24/2017,44.27,3136,411,1.35,
4/25/2017,44.709999,3136,411,1.35,
4/26/2017,44.41,3136,411,1.35,
4/27/2017,47.150002,3136,411,1.35,
4/28/2017,47.720001,3136,411,1.35,
5/1/2017,47.540001,3136,411,1.35,
