Date,Close price,Revenue,Net income,D/E Ratio,ROIC
1/3/2017,76.093689,4477.00 ,430.00 ,1.52,0.19
1/4/2017,76.71582,4477.00 ,430.00 ,1.52,0.19
1/5/2017,77.615547,4477.00 ,430.00 ,1.52,0.19
1/6/2017,78.687561,4477.00 ,430.00 ,1.52,0.19
1/9/2017,78.247253,4477.00 ,430.00 ,1.52,0.19
1/10/2017,77.826149,4477.00 ,430.00 ,1.52,0.19
1/11/2017,78.295166,4477.00 ,430.00 ,1.52,0.19
1/12/2017,77.883583,4477.00 ,430.00 ,1.52,0.19
1/13/2017,77.692131,4477.00 ,430.00 ,1.52,0.19
1/17/2017,77.778282,4477.00 ,430.00 ,1.52,0.19
1/18/2017,78.094139,4477.00 ,430.00 ,1.52,0.19
1/19/2017,78.228142,4477.00 ,430.00 ,1.52,0.19
1/20/2017,78.333412,4477.00 ,430.00 ,1.52,0.19
1/23/2017,78.63015,4477.00 ,430.00 ,1.52,0.19
1/24/2017,79.663879,4477.00 ,430.00 ,1.52,0.19
1/25/2017,80.305168,4477.00 ,430.00 ,1.52,0.19
1/26/2017,79.673424,4477.00 ,430.00 ,1.52,0.19
1/27/2017,80.18074,4477.00 ,430.00 ,1.52,0.19
1/30/2017,80.113747,4477.00 ,430.00 ,1.52,0.19
1/31/2017,79.166145,4477.00 ,430.00 ,1.52,0.19
2/1/2017,78.90773,4477.00 ,430.00 ,1.52,0.19
2/2/2017,78.77372,4477.00 ,430.00 ,1.52,0.19
2/3/2017,82.391762,4477.00 ,430.00 ,1.52,0.19
2/6/2017,82.152473,4477.00 ,430.00 ,1.52,0.19
2/7/2017,82.104599,4477.00 ,430.00 ,1.52,0.19
2/8/2017,81.444176,4477.00 ,430.00 ,1.52,0.19
2/9/2017,81.91317,4477.00 ,430.00 ,1.52,0.19
2/10/2017,82.219475,4477.00 ,430.00 ,1.52,0.19
2/13/2017,82.736336,4477.00 ,430.00 ,1.52,0.19
2/14/2017,83.128746,4477.00 ,430.00 ,1.52,0.19
2/15/2017,83.948708,4477.00 ,430.00 ,1.52,0.19
2/16/2017,83.824051,4477.00 ,430.00 ,1.52,0.19
2/17/2017,83.871971,4477.00 ,430.00 ,1.52,0.19
2/21/2017,84.313103,4477.00 ,430.00 ,1.52,0.19
2/22/2017,84.198021,4477.00 ,430.00 ,1.52,0.19
2/23/2017,84.562447,4477.00 ,430.00 ,1.52,0.19
2/24/2017,84.80217,4477.00 ,430.00 ,1.52,0.19
2/27/2017,84.389809,4477.00 ,430.00 ,1.52,0.19
2/28/2017,84.332275,4477.00 ,430.00 ,1.52,0.19
3/1/2017,85.339203,4477.00 ,430.00 ,1.52,0.19
3/2/2017,84.898087,4477.00 ,430.00 ,1.52,0.19
3/3/2017,85.147392,4477.00 ,430.00 ,1.52,0.19
3/6/2017,85.291252,4477.00 ,430.00 ,1.52,0.19
3/7/2017,85.406334,4477.00 ,430.00 ,1.52,0.19
3/8/2017,85.31044,4477.00 ,430.00 ,1.52,0.19
3/9/2017,85.454277,4477.00 ,430.00 ,1.52,0.19
3/10/2017,86.048843,4477.00 ,430.00 ,1.52,0.19
3/13/2017,86.413246,4477.00 ,430.00 ,1.52,0.19
